19840, 20640
36960, 38240
39840, 40480
55520, 56640
58240, 58720
75360, 76640
77760, 78720
94240, 95680
97120, 97600
112320, 113440
114880, 115360
132160, 133280
152480, 153120
155200, 155680
170080, 171200
172640, 173280
190560, 191680
193280, 193760
208480, 209760
211200, 212000
226720, 227840
244320, 245280
245440, 246560
248160, 248640
261600, 262400
262560, 263520
265440, 266080
280480, 281440
282880, 283360
296640, 297280
314240, 314880
316800, 317440
330240, 331040
331360, 332320
333920, 334400
348320, 349440
365440, 366080
381440, 382240
382400, 383680
385440, 385920
400640, 401120
401280, 402240
419520, 420480
437440, 438720
454560, 455680
457120, 457760
470880, 472160
486400, 487520
488960, 489600
502880, 503840
505280, 505920
519520, 520480
536320, 537440
539040, 539520
552160, 553280
569760, 571040
572480, 573120
586880, 588000
589440, 590080
604320, 605280
620320, 621280
636480, 637280
639040, 639520
653760, 654720
655840, 656480
